No.,X,Y,Z,x,y,Lv [cd/m²],u',v',Tcp,duv,λd/λc,Pe,Δt,ErrCode,Sync Mode,Meas Speed,Averaging Times,Integration Time,Date,Time,r,g,b,extract_lv
1,1.8368124,5.2436333,0.2383708,0.250971233,0.716459184,5.2436333,0.090476211,0.581144905,----,----,542.2018753,93.89179306,0.24,0,INT : 60.00[Hz],FAST,1,Double-Frame,2025/1/9,17:35:36,0,16,0,
2,2.0341332,5.2846274,0.2380103,0.269180213,0.69932349,5.2846274,0.099204747,0.579895791,----,----,544.8376996,93.36990852,0.17,0,INT : 60.00[Hz],FAST,1,Double-Frame,2025/1/9,17:37:15,4,16,0,
3,2.4926267,5.4896021,0.2359277,0.303307281,0.667984614,5.4896021,0.116553532,0.577552652,----,----,549.9257363,93.10069399,0.16,0,INT : 60.00[Hz],FAST,1,Double-Frame,2025/1/9,17:37:22,8,16,0,
4,3.7774606,6.078836,0.2357895,0.374299284,0.602336914,6.078836,0.157941444,0.571872359,4902.584736,0.0789609,560.5517975,93.64822029,0.15,0,INT : 60.00[Hz],FAST,1,Double-Frame,2025/1/9,17:37:28,12,16,0,
5,5.1755934,6.6851134,0.2347782,0.427894657,0.552694944,6.6851134,0.195017248,0.566766496,4004.092985,0.052854256,568.4722201,94.55328289,0.16,0,INT : 60.00[Hz],FAST,1,Double-Frame,2025/1/9,17:37:36,16,16,0,
6,6.7359114,7.402637,0.2351463,0.468627694,0.515012817,7.402637,0.227409181,0.562316205,3272.255434,0.03416653,574.4739505,95.38904536,0.13,0,INT : 60.00[Hz],FAST,1,Double-Frame,2025/1/9,17:37:48,20,16,0,
7,8.9652748,8.4416924,0.237508,0.508106628,0.478432614,8.4416924,0.263098029,0.5573988,2585.748724,0.019174721,580.3767951,96.22557591,0.14,0,INT : 60.00[Hz],FAST,1,Double-Frame,2025/1/9,17:37:59,24,16,0,
8,11.316328,9.5097237,0.236139,0.537281623,0.451506865,9.5097237,0.292656212,0.553353469,2143.702492,0.011100513,584.8583608,96.86438156,0.1,0,INT : 60.00[Hz],FAST,1,Double-Frame,2025/1/9,17:38:11,28,16,0,
9,13.48478,10.496354,0.2357623,0.556833536,0.433431017,10.496354,0.314262085,0.550388195,1888.313761,0.007161531,587.9712001,97.2759574,0.1,0,INT : 60.00[Hz],FAST,1,Double-Frame,2025/1/9,17:38:23,32,16,0,
10,16.61911,11.929557,0.2367489,0.577344794,0.414430594,11.929557,0.338694256,0.547024658,1653.803086,0.004159549,591.3747856,97.70764725,0.11,0,INT : 60.00[Hz],FAST,1,Double-Frame,2025/1/9,17:38:30,36,16,0,
11,20.086123,13.526183,0.2374474,0.593390527,0.399594728,13.526183,0.359175901,0.544212921,----,----,594.1653022,98.06573414,0.12,0,INT : 60.00[Hz],FAST,1,Double-Frame,2025/1/9,17:38:36,40,16,0,
12,23.548218,15.131804,0.2401422,0.60503902,0.388790857,15.131804,0.374903412,0.542044037,----,----,596.3413848,98.31098306,0.1,0,INT : 60.00[Hz],FAST,1,Double-Frame,2025/1/9,17:39:04,44,16,0,
13,27.17568,16.765787,0.2369559,0.615134679,0.379501709,16.765787,0.389094804,0.540109075,----,----,598.3293502,98.54118324,0.08,0,INT : 60.00[Hz],FAST,1,Double-Frame,2025/1/9,17:39:18,48,16,0,
14,31.337673,18.660288,0.2374791,0.623816034,0.371456644,18.660288,0.401823728,0.538356169,----,----,600.12246,98.7209791,0.08,0,INT : 60.00[Hz],FAST,1,Double-Frame,2025/1/9,17:39:30,52,16,0,
15,35.836926,20.739941,0.2401718,0.630742586,0.365030305,20.739941,0.412325617,0.536907662,----,----,601.6064663,98.86296661,0.09,0,INT : 60.00[Hz],FAST,1,Double-Frame,2025/1/9,17:39:41,56,16,0,
16,40.164005,22.72234,0.2375951,0.636272149,0.359963905,22.72234,0.420882933,0.535747157,----,----,602.8116375,98.99545171,0.07,0,INT : 60.00[Hz],FAST,1,Double-Frame,2025/1/9,17:40:07,60,16,0,
17,45.403481,25.121063,0.2420734,0.64159462,0.354984651,25.121063,0.429402515,0.534559391,----,----,604.0380598,99.0911384,0.08,0,INT : 60.00[Hz],FAST,1,Double-Frame,2025/1/9,17:40:14,64,16,0,
,,,,,,,,,,,,,,,,,,,,,,,,
